amount,txn_hour,user_age,device_change,is_foreign,account_age_days,prev_txn_24h,avg_amount_30d,location_distance_km,label,merchant_cat_entertainment,merchant_cat_food,merchant_cat_grocery,merchant_cat_others,merchant_cat_travel,merchant_cat_utilities,txn_type_merchant,txn_type_p2p,txn_type_recharge
704.0,22,41,0,0,3930,2,1240.0,2.17,0,0,0,1,0,0,0,0,1,0
4515.0,3,54,0,0,2532,1,2307.0,3.67,0,0,0,0,0,0,1,0,1,0
1975.0,17,37,0,0,3356,0,470.0,3.71,0,0,0,0,0,0,1,1,0,0
1369.0,4,29,0,0,4444,1,118.0,5.5,0,0,0,0,1,0,0,1,0,0
254.0,15,37,0,0,4795,0,753.0,2.88,0,0,0,1,0,0,0,0,1,0
254.0,13,37,0,0,1398,1,59.0,1.04,0,0,1,0,0,0,0,0,0,0
90.0,18,21,0,0,413,0,756.0,3.38,0,0,0,1,0,0,0,1,0,0
3017.0,13,47,0,0,1442,0,152.0,7.96,0,0,1,0,0,0,0,1,0,0
1379.0,8,48,0,0,2881,0,581.0,6.07,0,0,0,1,0,0,0,1,0,0
1847.0,5,39,0,0,4378,1,786.0,0.61,0,0,0,0,0,0,0,0,1,0
31.0,16,32,0,0,1267,0,474.0,14.81,0,0,0,0,0,0,1,1,0,0
5255.0,18,55,0,0,4759,1,1405.0,1.83,0,0,0,1,0,0,0,0,0,0
2680.0,11,54,1,0,4295,0,376.0,4.41,0,0,0,1,0,0,0,0,1,0
358.0,3,45,0,0,2838,2,135.0,0.16,0,0,0,1,0,0,0,0,1,0
301.0,15,28,0,0,1455,1,499.0,12.01,0,0,0,0,0,0,0,1,0,0
304.0,10,31,0,0,4323,1,2649.0,5.75,0,0,0,0,1,0,0,0,1,0
544.0,21,28,0,0,1007,1,1697.0,1.62,0,0,0,0,0,0,1,0,1,0
1116.0,3,26,0,0,1220,2,298.0,5.75,0,0,0,0,1,0,0,0,0,0
848.0,16,41,0,0,4829,2,222.0,1.73,0,0,1,0,0,0,0,0,1,0
516.0,7,27,0,0,2917,2,528.0,1.5,0,0,0,0,1,0,0,0,1,0
1420.0,13,55,0,0,228,2,852.0,2.96,0,0,1,0,0,0,0,0,1,0
